budget,id,language,popularity,release_date,revenue,runtime,status,title,vote_avg,vote_count,genres_1,genres_2,genres_3,genres_4,genres_5,pro_com_1,pro_com_2,pro_com_3,pro_com_4,pro_coun_1,pro_coun_2,pro_coun_3
237000000,19995,English,150.437577,10-12-2009,2787965087,02:42,Released,Avatar,7.2,11800,Action,Adventure,Fantasy,Science Fiction,,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment,United States of America,United Kingdom,
300000000,285,English,139.082615,19-05-2007,961000000,02:49,Released,Pirates of the Caribbean: At World's End,6.9,4500,Adventure,Fantasy,Action,,,Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,United States of America,,
245000000,206647,English,107.376788,26-10-2015,880674609,02:28,Released,Spectre,6.3,4466,Action,Adventure,Crime,,,Columbia Pictures,Danjaq,B24,,United Kingdom,United States of America,
250000000,49026,English,112.31295,16-07-2012,1084939099,02:45,Released,The Dark Knight Rises,7.6,9106,Action,Crime,Drama,Thriller,,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,United States of America,,
260000000,49529,English,43.926995,07-03-2012,284139100,02:12,Released,John Carter,6.1,2124,Action,Adventure,Science Fiction,,,Walt Disney Pictures,,,,United States of America,,
258000000,559,English,115.699814,01-05-2007,890871626,02:19,Released,Spider-Man 3,5.9,3576,Fantasy,Action,Adventure,,,Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises,,United States of America,,
260000000,38757,English,48.681969,24-11-2010,591794936,01:40,Released,Tangled,7.4,3330,Animation,Family,,,,Walt Disney Pictures,Walt Disney Animation Studios,,,United States of America,,
280000000,99861,English,134.279229,22-04-2015,1405403694,02:21,Released,Avengers: Age of Ultron,7.3,6767,Action,Adventure,Science Fiction,,,Marvel Studios,Prime Focus,Revolution Sun Studios,,United States of America,,
250000000,767,English,98.885637,07-07-2009,933959197,02:33,Released,Harry Potter and the Half-Blood Prince,7.4,5293,Adventure,Fantasy,Family,,,Warner Bros.,Heyday Films,,,United Kingdom,United States of America,
250000000,209112,English,155.790452,23-03-2016,873260194,02:31,Released,Batman v Superman: Dawn of Justice,5.7,7004,Action,Adventure,Fantasy,,,DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,United States of America,,
270000000,1452,English,57.925623,28-06-2006,391081192,02:34,Released,Superman Returns,5.4,1400,Adventure,Fantasy,Action,Science Fiction,,DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions,United States of America,,
200000000,10764,English,107.928811,30-10-2008,586090727,01:46,Released,Quantum of Solace,6.1,2965,Adventure,Action,Thriller,Crime,,Eon Productions,,,,United Kingdom,United States of America,
